"customer_sk","customer_key","customer_unique_id","customer_name","customer_zip_prefix","customer_city","customer_state","customer_lat","customer_lng","valid_from","valid_to","is_current"
-1,-1,,"Unknown",,,"??",,,,,true
44035,44035,"0000366f3b9a7992bf8c76cfdf3221e2","Kátia Azevedo Nascimento","07787","Cajamar","SP",-23.337679032701146,-46.826739255239744,2018-05-10 10:56:27.000000Z,9999-12-31 00:00:00.000000Z,true
44036,44036,"0000b849f77a49e4a4ce2b2a4ca5be3f","Alice Santana Costa","06053","Osasco","SP",-23.557876240407968,-46.78875378767495,2018-05-07 11:11:27.000000Z,9999-12-31 00:00:00.000000Z,true
44037,44037,"0004bd2a26a76fe21f786e4fbd80607f","Clara Porto Coelho","05036","Sao Paulo","SP",-23.5165267462504,-46.68737069066535,2018-04-05 19:33:16.000000Z,9999-12-31 00:00:00.000000Z,true
44038,44038,"00050ab1314c0e55a6ca13cf7181fecf","Mariana Gomes Farias","13084","Campinas","SP",-22.823368072162268,-47.08801043005943,2018-04-20 12:57:23.000000Z,9999-12-31 00:00:00.000000Z,true
44039,44039,"00053a61a98854899e70ed204dd4bafe","Sérgio Alves Figueiredo","80410","Curitiba","PR",-25.42961694754457,-49.27934196003805,2018-02-28 11:15:41.000000Z,9999-12-31 00:00:00.000000Z,true
44040,44040,"0005ef4cd20d2893f0d9fbd94d3c0d97","Márcia Pacheco Leite","65060","Sao Luis","MA",-2.547269664762603,-44.23014041115571,2018-03-12 15:22:12.000000Z,9999-12-31 00:00:00.000000Z,true
44041,44041,"00090324bbad0e9342388303bb71ba0a","Vitor Souza Magalhães","13054","Campinas","SP",-22.975744368861438,-47.127382628757495,2018-03-24 14:44:41.000000Z,9999-12-31 00:00:00.000000Z,true
44042,44042,"000949456b182f53c18b68d6babc79c1","Roberto Aguiar Paiva","09613","Sao Bernardo Do Campo","SP",-23.67096716985976,-46.56480244873972,2018-04-23 09:55:46.000000Z,9999-12-31 00:00:00.000000Z,true
44043,44043,"000d460961d6dbfa3ec6c9f5805769e1","Natália Teixeira Aguiar","01206","Sao Paulo","SP",-23.536609489728185,-46.64244480598998,2018-01-07 22:59:25.000000Z,9999-12-31 00:00:00.000000Z,true
44044,44044,"000e309254ab1fc5ba99dd469d36bdb4","Larissa Queiroz Gomes","72872","Valparaiso De Goias","GO",-16.08831966935638,-47.98809526771883,2018-06-25 09:53:57.000000Z,9999-12-31 00:00:00.000000Z,true
44045,44045,"000ec5bff359e1c0ad76a81a45cb598f","Adriana Ferreira Andrade","18160","Salto De Pirapora","SP",-23.650244312827898,-47.5761217787836,2018-08-21 11:34:26.000000Z,9999-12-31 00:00:00.000000Z,true
44046,44046,"000ed48ceeb6f4bf8ad021a10a3c7b43","Mário Ferreira Lopes","01303","Sao Paulo","SP",-23.54919071579432,-46.64818240521669,2018-05-20 16:26:06.000000Z,9999-12-31 00:00:00.000000Z,true
44047,44047,"000fbf0473c10fc1ab6f8d2d286ce20c","Ana Rezende Souza","13330","Indaiatuba","SP",-23.086496272847818,-47.216807769634734,2018-07-26 09:43:52.000000Z,9999-12-31 00:00:00.000000Z,true
44048,44048,"0010fb34b966d44409382af9e8fd5b77","Eliane Sampaio Figueiredo","04321","Sao Paulo","SP",-23.64843177172653,-46.64338862033126,2018-03-05 17:08:53.000000Z,9999-12-31 00:00:00.000000Z,true
44049,44049,"0014a5a58da615f7b01a4f5e194bf5ea","Adriano Castro Soares","01407","Sao Paulo","SP",-23.577273911189312,-46.67300311656761,2018-01-18 20:49:36.000000Z,9999-12-31 00:00:00.000000Z,true
44050,44050,"0015752e079902b12cd00b9b7596276b","Adriano Aguiar Pires","03169","Sao Paulo","SP",-23.551946399745763,-46.5959258641528,2018-08-02 18:23:51.000000Z,9999-12-31 00:00:00.000000Z,true
44051,44051,"00172711b30d52eea8b313a7f2cced02","Jéssica Aguiar Moraes","45200","Jequie","BA",-13.859603228327394,-40.08330134859661,2018-07-28 00:23:49.000000Z,9999-12-31 00:00:00.000000Z,true
44052,44052,"001928b561575b2821c92254a2327d06","Fábio Rocha Moura","04757","Sao Paulo","SP",-23.651529535219964,-46.72004001547208,2018-08-24 21:17:00.000000Z,9999-12-31 00:00:00.000000Z,true
44053,44053,"00196c4c9a3af7dd2ad10eade69c926f","Flávio Oliveira Cavalcanti","13287","Vinhedo","SP",-23.051147389576347,-46.989486915635474,2018-07-28 09:29:12.000000Z,9999-12-31 00:00:00.000000Z,true
44054,44054,"00196fdb2bf9edfc35e88ebfbcf8d781","Flávio Cavalcanti Fonseca","92323","Canoas","RS",-29.925087789341568,-51.19850256272721,2018-02-22 19:06:44.000000Z,9999-12-31 00:00:00.000000Z,true
44055,44055,"0019da6aa6bcb27cc32f1249bd12da05","Cecília Castro Rezende","13484","Limeira","SP",-22.556825701497495,-47.42307221908908,2018-02-11 00:55:30.000000Z,9999-12-31 00:00:00.000000Z,true
44056,44056,"0019e8c501c85848ac0966d45226fa1d","Cláudio Coelho Fernandes","78015","Cuiaba","MT",-15.610030980063547,-56.09066225794275,2018-05-01 09:25:32.000000Z,9999-12-31 00:00:00.000000Z,true
44057,44057,"001a34eb30ecb8e3aacb07c475ca4dd1","Cristiane Lopes Melo","04078","Sao Paulo","SP",-23.60574671038429,-46.65895225200536,2018-07-11 19:49:54.000000Z,9999-12-31 00:00:00.000000Z,true
44058,44058,"001a3a8e11d76c9a366c31a4aa2cc529","Antônio Carvalho Medeiros","90840","Porto Alegre","RS",-30.078118130734534,-51.22292044878531,2018-05-21 01:24:25.000000Z,9999-12-31 00:00:00.000000Z,true
